ID,RAh,RAm,RAs,DEd,DEm,DEs,D,rho,L10,LL14,XMM,X-ray,Prev,New,Confirm,FHa,f_Hb,Hb,f_[OIII],[OIII],f_[OI],[OI],Ha,f_[NII],[NII],f_[SII]6717,[SII]6717,f_[SII]6731,[SII]6731,f_[SII]/Ha,[SII]/Ha,FWHM
L10-045,01,33,35.90,30,36,27.4,33,1.2,L10-045,LL14-074,XMM-082,yes,L10,yes,yes,2485,,79,,153,,39,300,,124,,131,,117,,0.83,7.4
L10-039,01,33,31.25,30,33,33.4,16,1.9,L10-039,LL14-067,XMM-073,yes,L10,yes,yes,2342,,83,,326,,76,300,,178,,117,,155,,0.91,9.1
L10-036,01,33,29.05,30,42,17.0,22,2.3,L10-036,LL14-061,XMM-067,yes,S93,yes,yes,1850,,87,,133,,106,300,,139,,173,,168,,1.14,8.3
L10-124,01,34,33.02,30,46,39.2,14,3.4,L10-124,LL14-177,XMM-191,yes,BK85,yes,yes,1527,,92,,112,,42,300,,68,,107,,86,,0.64,5.4
L10-071,01,33,54.91,30,33,11.0,24,1.9,L10-071,LL14-107,XMM-119,yes,S93,yes,yes,1113,,94,,194,,86,300,,130,,172,,155,,1.09,7.4
L10-096,01,34,10.70,30,42,24.0,22,1.6,L10-096,LL14-140,XMM-153,yes,S93,yes,yes,987,,90,,51,,148,300,,118,,235,,195,,1.43,5.5
L10-011,01,32,57.07,30,39,27.1,23,4.7,L10-011,LL14-022,XMM-024,yes,L10,yes,yes,828,,100,,142,,77,300,,62,,136,,117,,0.84,5.9
L10-070,01,33,54.51,30,45,18.7,24,1.4,L10-070,LL14-105,XMM-118,yes,G98,yes,yes,416,,90,,74,,57,300,,117,,164,,119,,0.94,5.3
L10-114,01,34,19.87,30,33,56.0,26,3.4,L10-114,LL14-164,XMM-178,yes,S93,yes,yes,391,,98,,316,,40,300,,72,,124,,89,,0.71,5.1
L10-025,01,33,11.76,30,38,41.5,28,3.3,L10-025,LL14-037,XMM-041,yes,L10,yes,yes,313,,89,,221,~,17,300,,51,,63,,61,,0.41,6.0
L10-078,01,33,58.07,30,37,54.6,20,0.9,L10-078,LL14-116,XMM-128,yes,L10,yes,yes,295,,88,,160,,93,300,,161,,206,,152,,1.19,5.5
L10-077,01,33,58.06,30,32,09.6,27,2.3,L10-077,LL14-115,XMM-127,yes,S93,yes,yes,258,,88,,17,~,8,300,,67,,78,,53,,0.44,4.8
L10-018,01,33,04.03,30,39,53.7,34,4.1,L10-018,LL14-029,XMM-032,yes,S93,yes,yes,252,,93,,95,,41,300,,68,,115,,84,,0.66,5.7
L10-032,01,33,23.85,30,26,13.5,25,3.5,L10-032,LL14-053,XMM-058,yes,BK85,yes,yes,242,,72,,73,,114,300,,88,,188,,139,,1.09,5.8
L10-128,01,34,40.73,30,43,36.4,26,4.0,L10-128,LL14-184,XMM-198,yes,L10,yes,yes,233,,97,,151,,32,300,,82,,131,,90,,0.74,5.7
L10-080,01,33,58.42,30,36,24.3,11,1.3,L10-080,LL14-117,XMM-129,yes,L10,yes,yes,175,,62,,123,,95,300,,159,,198,,159,,1.19,5.5
L10-002,01,32,31.41,30,35,32.9,33,6.5,L10-002,LL14-003,XMM-004,yes,G98,yes,yes,168,,95,,274,,47,300,,51,,109,,77,,0.62,5.0
L10-074,01,33,56.97,30,34,58.7,34,1.6,L10-074,LL14-111,XMM-123,yes,L10,yes,yes,151,,79,,49,,87,300,,102,,191,,133,,1.08,5.7
L10-065,01,33,51.06,30,43,56.2,53,1.2,L10-065,LL14-100,XMM-111,yes,S93,yes,yes,146,,82,,32,~,25,300,,108,,119,,83,,0.67,4.9
L10-069,01,33,54.28,30,33,47.9,51,1.7,L10-069,LL14-104,XMM-116,yes,S93,yes,yes,142,~,71,,38,~,33,300,,88,,142,,101,,0.81,5.1
L10-057,01,33,43.70,30,36,11.5,40,0.9,L10-057,LL14-089,XMM-100,yes,S93,yes,yes,131,,79,,31,,28,300,,90,,117,,81,,0.66,4.9
L10-023,01,33,11.10,30,39,43.7,29,3.5,L10-023,LL14-035,XMM-039,yes,L10,yes,yes,110,,88,,198,,59,300,,73,,100,,86,,0.62,5.7
L10-034,01,33,28.08,30,31,35.0,36,2.3,L10-034,LL14-060,XMM-065,yes,G98,yes,yes,105,~,51,,395,~,21,300,,101,,121,,94,,0.72,6.4
