ID,f_Seq,RAh,RAm,RAs,DEd,DEm,DEs,Rad,Diam,F(Ha),F([SII]),F([OIII]),[SII]/Ha,[OIII]/Ha,X,OName
50,,13,36,51.25,-29,52,40.6,3.1,2.7,235.8,82.9,25.0,0.35,0.11,n,
317,,13,36,58.49,-29,59,24.2,10.5,4.0,195.0,33.3,184.9,0.17,0.95,n,
108,,13,36,56.38,-29,49,31.9,3.8,3.0,168.3,55.7,9.3,0.33,0.06,n,
60,,13,36,52.65,-29,52,41.2,2.7,3.2,161.8,59.3,11.7,0.37,0.07,n,
42,,13,36,50.68,-29,52,41.4,3.2,2.0,135.1,56.0,29.5,0.41,0.22,n,
12,,13,36,45.7,-29,52,20.9,4.6,5.6,127.4,64.6,11.8,0.51,0.09,n,
135,,13,37,0.7,-29,52,21.7,0.6,2.1,122.1,54.7,4.2,0.45,0.03,n,D10-08
190,,13,37,8.48,-29,52,2.0,2.3,2.3,114.6,61.3,9.8,0.53,0.09,y,D10-27;L338
117,,13,36,58.55,-29,48,19.7,5.2,1.9,111.1,42.9,27.5,0.39,0.25,y,L166
175,,13,37,6.82,-29,49,26.3,3.8,2.0,110.3,42.3,12.4,0.38,0.11,n,
21,,13,36,47.91,-29,51,45.7,4.0,3.7,105.4,47.1,2.8,0.45,0.03,n,
39,,13,36,50.29,-29,52,47.3,3.4,2.3,104.7,75.5,16.2,0.72,0.15,n,BL11
79,,13,36,54.51,-29,50,25.8,3.0,3.4,96.4,68.1,16.5,0.71,0.17,y,BL16;L124
187,,13,37,7.99,-29,51,16.2,2.3,1.7,95.8,31.2,5.0,0.33,0.05,n,
80,,13,36,54.61,-29,53,4.8,2.4,2.3,90.3,33.9,2.0,0.38,0.02,n,
319,,13,36,59.33,-29,54,58.6,4.3,4.5,89.4,25.7,17.3,0.29,0.19,n,
346,,13,37,23.65,-29,48,53.7,7.8,4.0,87.6,18.0,38.0,0.21,0.43,n,H132
158,,13,37,4.46,-29,54,3.5,3.3,3.3,78.1,40.0,12.8,0.51,0.16,n,
94,,13,36,55.37,-29,49,56.7,3.4,2.8,76.8,31.1,9.2,0.41,0.12,n,
123,,13,36,59.35,-29,48,37.8,4.7,1.6,76.4,35.3,3.4,0.46,0.04,y,L184
73,,13,36,53.89,-29,48,48.3,5.1,1.2,73.8,27.0,18.4,0.37,0.25,y,SW020;L116
