301   13 36 31.06 -29 55 41.0 10.1 3.2   7.5  3.2  14.5 0.43 1.93 n
302   13 36 32.51 -29 56 11.9 10.1 5.5  37.5 10.5 101.6 0.28 2.71 n
303   13 36 36.94 -29 49 41.8  8.2 3.1  14.0  4.2  29.8 0.30 2.13 n
304   13 36 44.05 -29 51 27.1  5.3 1.4  16.2  3.9   5.7 0.24 0.35 n
305   13 36 44.54 -29 55 03.5  6.4 3.2  25.0  7.9  19.1 0.32 0.76 n
306   13 36 46.56 -29 55 31.5  6.4 3.4  22.0  6.8  12.2 0.31 0.55 n
307   13 36 47.99 -29 53 26.6  4.3 1.0   0.3  0.0   1.3 0.11 4.90 y SW006;D10-T4-03;L044
308   13 36 48.89 -29 51 44.4  3.7 3.1  12.8  2.4  14.4 0.19 1.13 n H022
309   13 36 49.91 -29 52 59.3  3.5 1.4   2.8  1.0   3.0 0.38 1.08 y D10-T4-04;L054
310   13 36 50.24 -29 50 36.9  3.9 1.7  13.1  4.2  11.3 0.32 0.86 n
311   13 36 52.27 -29 54 20.9  4.1 2.3  13.6  4.4   9.5 0.33 0.70 n
312   13 36 53.60 -29 56 00.9  6.0 1.7   7.3  2.8   3.7 0.38 0.52 y SW019;L110
313   13 36 55.06 -29 54 54.9  4.4 2.6  20.0  6.2   8.4 0.31 0.42 n
314   13 36 55.27 -29 54 02.9  3.3 1.3   0.8  0.0   4.9 0.00 5.87 y SW026;L135
315   13 36 55.40 -29 48 05.9  5.8 2.5  28.5  7.0   8.7 0.25 0.30 n H055
316   13 36 58.04 -29 49 02.0  4.2 3.0  18.7  3.6   8.5 0.19 0.45 n
317   13 36 58.49 -29 59 24.2 10.5 4.0 195.0 33.3 184.9 0.17 0.95 n
318   13 36 59.02 -29 54 58.7  4.3 2.8  27.7  9.6  11.1 0.35 0.40 n
319   13 36 59.33 -29 54 58.6  4.3 4.5  89.4 25.7  17.3 0.29 0.19 n
320   13 36 59.44 -29 54 34.8  3.7 2.2  16.1  5.4  27.7 0.34 1.72 n BL30
321   13 37 01.27 -29 51 59.9  0.1 1.0  61.5  7.3  10.1 0.12 0.16 y SW070;L243
322   13 37 02.35 -29 54 37.5  3.9 1.8  14.5  2.5   8.1 0.17 0.56 n
323   13 37 02.38 -29 54 15.5  3.4 1.8  24.7  6.4   8.2 0.26 0.33 n
324   13 37 03.59 -29 49 40.8  3.2 1.3  13.5  3.9   8.2 0.29 0.61 y SN57D;L279
325   13 37 04.98 -29 59 45.8 11.2 4.0  58.1 12.3  70.1 0.21 1.21 n
326   13 37 05.47 -29 53 37.3  2.9 1.4  18.3  4.5  10.0 0.24 0.55 n
327   13 37 05.87 -29 49 11.4  4.0 1.7  24.8  9.6   8.0 0.39 0.32 n D10-T4-02
328   13 37 06.96 -29 54 57.7  4.8 2.5  15.2  5.3   7.7 0.35 0.51 n
329   13 37 07.15 -29 49 13.4  4.1 2.7  22.0  8.7  14.0 0.39 0.64 n D10-T4-01
330   13 37 07.46 -29 54 42.1  4.5 2.0  22.2  5.5   9.0 0.25 0.41 n
331   13 37 07.81 -29 48 42.8  4.8 3.5  40.7 11.4  18.6 0.28 0.46 n
332   13 37 08.19 -29 59 19.6 10.8 4.0  22.6  5.2  33.9 0.23 1.50 n
333   13 37 08.66 -29 52 42.9  2.7 2.3  62.0 22.3  13.0 0.36 0.21 n
334   13 37 10.19 -29 48 59.2  4.8 2.6  31.8 11.1  15.4 0.35 0.48 n
335   13 37 11.05 -29 48 25.0  5.6 3.5  18.1  4.7  20.3 0.26 1.12 n H114
336   13 37 12.08 -29 50 57.1  3.5 1.0  46.1  6.8   6.6 0.15 0.14 y L360
337   13 37 12.57 -29 49 49.8  4.4 1.9  35.7  9.0  13.9 0.25 0.39 n H121
338   13 37 12.82 -29 54 44.7  5.6 2.4   6.6  3.1   5.5 0.47 0.83 n
339   13 37 14.30 -29 50 00.8  4.7 1.9   9.9  1.8  15.2 0.18 1.53 n
340   13 37 14.57 -29 50 09.4  4.6 2.1  40.0  8.1  24.5 0.20 0.61 n
341   13 37 15.19 -29 50 40.0  4.5 2.2  38.4  9.5  22.0 0.25 0.57 n
342   13 37 16.15 -29 48 35.8  6.3 1.9  36.3  3.9  16.1 0.11 0.44 n
343   13 37 16.66 -29 50 59.8  4.8 2.8  42.5 11.8  16.8 0.28 0.39 n
344   13 37 17.80 -29 51 55.6  5.1 4.0  63.5 19.0  44.6 0.30 0.70 n
345   13 37 17.99 -29 48 04.9  7.2 4.0  17.0  3.8  27.3 0.22 1.60 n H130
346   13 37 23.65 -29 48 53.7  7.8 4.0  87.6 18.0  38.0 0.21 0.43 n H132
