ID,F(Ha),RAh,RAm,RAs,DEd,DEm,DEs
SNR_58,230.1,23,57,42.7,-32,34,39.1
SNR_161,209.0,23,57,50.7,-32,35,25.6
SNR_188,166.1,23,57,53.0,-32,35,13.2
SNR_152,151.1,23,57,50.1,-32,35,44.8
SNR_23,135.6,23,57,41.0,-32,35,53.9
SNR_174,134.8,23,57,51.5,-32,35,40.6
SNR_234,134.3,23,57,58.5,-32,35,42.9
SNR_2,128.3,23,57,37.1,-32,35,00.4
SNR_17,115.6,23,57,40.4,-32,35,27.7
SNR_172,106.5,23,57,51.4,-32,35,23.6
SNR_233,102.7,23,57,58.4,-32,35,23.4
SNR_121,101.4,23,57,45.4,-32,34,46.3
SNR_77,98.3,23,57,43.3,-32,35,52.7
SNR_199,95.4,23,57,53.7,-32,35,41.2
SNR_162,94.6,23,57,50.7,-32,35,29.0
SNR_55,92.0,23,57,42.4,-32,35,18.5
SNR_166,91.4,23,57,50.9,-32,35,49.9
SNR_207,88.8,23,57,54.6,-32,35,44.0
SNR_171,87.6,23,57,51.3,-32,35,39.6
SNR_83,81.7,23,57,43.5,-32,35,22.2
SNR_36,80.3,23,57,41.5,-32,35,48.8
SNR_99,79.4,23,57,44.4,-32,35,25.1
SNR_100,73.3,23,57,44.4,-32,34,37.1
SNR_196,73.2,23,57,53.6,-32,34,53.6
SNR_91,71.0,23,57,44.0,-32,34,41.6
SNR_9,70.2,23,57,39.2,-32,35,38.4
SNR_218,69.0,23,57,55.5,-32,35,44.6
SNR_126,64.9,23,57,45.7,-32,35,01.6
SNR_168,63.8,23,57,51.2,-32,35,27.7
SNR_87,63.6,23,57,43.7,-32,34,39.0
SNR_24,61.4,23,57,41.0,-32,35,46.3
SNR_232,59.1,23,57,58.1,-32,35,41.5
SNR_29,58.1,23,57,41.2,-32,35,50.8
SNR_197,57.9,23,57,53.7,-32,35,45.8
SNR_107,55.5,23,57,44.7,-32,34,39.9
SNR_148,54.6,23,57,49.9,-32,35,45.9
SNR_159,54.1,23,57,50.4,-32,35,10.5
SNR_114,50.4,23,57,45.0,-32,35,14.8
SNR_39,49.8,23,57,41.6,-32,35,49.9
SNR_237,47.6,23,57,58.9,-32,35,32.4
SNR_92,46.5,23,57,44.0,-32,34,55.6
SNR_70,46.0,23,57,43.1,-32,36,11.8
SNR_20,45.3,23,57,40.7,-32,35,31.6
SNR_205,45.2,23,57,54.4,-32,35,31.7
SNR_49,45.2,23,57,42.0,-32,35,14.0
SNR_228,44.6,23,57,57.5,-32,35,39.2
SNR_132,43.5,23,57,46.7,-32,35,22.4
SNR_41,43.1,23,57,41.7,-32,34,51.0
SNR_85,42.7,23,57,43.6,-32,35,19.0
SNR_38,40.7,23,57,41.5,-32,35,03.3
SNR_227,40.3,23,57,57.2,-32,35,51.8
SNR_136,40.0,23,57,47.2,-32,35,23.5
SNR_177,39.9,23,57,51.8,-32,35,12.6
SNR_89,39.7,23,57,43.8,-32,35,27.6
SNR_170,38.7,23,57,51.3,-32,35,09.3
SNR_149,38.1,23,57,49.9,-32,35,00.8
SNR_105,37.7,23,57,44.6,-32,35,32.2
SNR_142,36.6,23,57,48.3,-32,35,13.9
SNR_144,34.3,23,57,48.7,-32,35,25.6
SNR_5,34.1,23,57,38.1,-32,35,21.8
SNR_192,34.0,23,57,53.3,-32,35,05.2
SNR_13,34.0,23,57,39.8,-32,35,42.4
SNR_111,33.9,23,57,44.9,-32,35,03.6
SNR_146,33.3,23,57,49.2,-32,35,16.4
