SNR_1	23:57:36.4	−32:35:39.3	7.0 ± 0.2	2.47 ± 0.11	−0.06 ± 0.03	−0.70 ± 0.04	−0.08 ± 0.06	1.86	y	y	y	n	y	37.04 ± 1.12
SNR_2	23:57:37.1	−32:35:00.4	128.3 ± 0.6	59.78 ± 0.40	−0.51 ± 0.01	−0.59 ± 0.01	0.18 ± 0.01	3.25	n	y	y	y	y	24.52 ± 0.55
SNR_3	23:57:37.6	−32:35:04.7	13.7 ± 0.2	5.41 ± 0.11	−0.61 ± 0.02	−0.79 ± 0.02	0.53 ± 0.03	1.30	n	y	y	y	y	21.79 ± 0.50
SNR_4	23:57:37.6	−32:35:07.7	11.6 ± 0.1	–	−0.48 ± 0.01	−0.65 ± 0.02	–	1.00	n	y	n	n	n	24.90 ± 0.55
SNR_5	23:57:38.1	−32:35:21.8	34.1 ± 0.4	14.56 ± 0.29	−0.56 ± 0.02	−0.73 ± 0.02	0.57 ± 0.03	2.98	n	y	y	y	y	23.39 ± 0.54
SNR_6	23:57:38.5	−32:35:08.9	7.4 ± 0.1	–	−0.49 ± 0.02	−0.70 ± 0.02	–	1.21	n	y	n	n	n	20.49 ± 0.54
SNR_7	23:57:38.6	−32:35:23.9	8.4 ± 0.2	2.94 ± 0.12	−0.32 ± 0.03	−0.61 ± 0.04	0.56 ± 0.05	1.78	y	y	y	y	y	26.89 ± 0.68
SNR_8	23:57:39.1	−32:35:08.0	11.0 ± 0.3	–	−0.61 ± 0.03	−0.79 ± 0.04	–	1.28	n	y	n	n	n	24.56 ± 0.56
SNR_9	23:57:39.2	−32:35:38.4	70.2 ± 0.4	29.84 ± 0.26	−0.16 ± 0.01	−0.61 ± 0.01	−0.44 ± 0.01	2.27	y	y	y	n	y	34.96 ± 0.90
SNR_10	23:57:39.3	−32:35:33.2	25.0 ± 0.3	–	−0.62 ± 0.01	−0.68 ± 0.01	–	1.69	n	y	n	n	n	23.72 ± 0.54
SNR_11	23:57:39.4	−32:35:11.0	10.9 ± 0.2	–	−0.65 ± 0.02	−0.61 ± 0.02	–	1.00	n	y	n	n	n	19.03 ± 0.45
SNR_12	23:57:39.5	−32:35:43.8	17.9 ± 0.2	–	−0.61 ± 0.02	−0.77 ± 0.02	–	1.66	n	y	n	n	n	26.61 ± 0.54
SNR_13	23:57:39.8	−32:35:42.4	34.0 ± 0.2	–	−0.52 ± 0.01	−0.67 ± 0.01	–	1.66	n	y	n	n	n	30.47 ± 0.58
SNR_14	23:57:40.1	−32:35:10.9	4.6 ± 0.1	–	−0.43 ± 0.03	−0.89 ± 0.04	–	1.26	n	y	n	n	n	20.90 ± 0.48
SNR_15	23:57:40.2	−32:35:07.6	7.2 ± 0.2	–	−0.46 ± 0.03	−0.77 ± 0.03	–	1.51	n	y	n	n	n	24.61 ± 0.61
